ProductID,ProductName,Category,SubCategory,Brand,CostPrice,ListPrice,StockQuantity,Weight,Dimensions,LaunchDate
51,Nintendo Smartphones Max,Electronics,Smartphones,Nintendo,372.51,742.84,793,4.0,27x8x46cm,2021-09-10
52,HP Gaming Pro,Electronics,Gaming,HP,868.99,1675.93,711,9.74,23x6x5cm,2024-04-10
53,Microsoft Laptops Standard,Electronics,Laptops,Microsoft,598.39,1355.84,663,3.88,10x42x37cm,2025-06-12
54,Nintendo Headphones Lite,Electronics,Headphones,Nintendo,703.04,1269.3,334,8.88,40x5x12cm,2025-02-06
55,Microsoft Tablets Standard,Electronics,Tablets,Microsoft,349.73,566.16,836,0.14,45x44x33cm,2022-08-09
56,Samsung Tablets Max,Electronics,Tablets,Samsung,770.43,1591.68,116,0.5,37x14x23cm,2022-08-22
57,Samsung Smartwatches Lite,Electronics,Smartwatches,Samsung,767.73,1668.42,232,7.1,36x20x13cm,2024-03-29
58,Microsoft Tablets Standard,Electronics,Tablets,Microsoft,623.56,1328.34,843,0.42,41x25x37cm,2021-01-11
59,HP Smartphones Standard,Electronics,Smartphones,HP,397.14,618.04,174,2.93,31x14x36cm,2025-01-05
60,HP Smartphones Lite,Electronics,Smartphones,HP,465.56,1001.31,322,1.61,15x14x43cm,2022-11-02
61,Apple Headphones Standard,Electronics,Headphones,Apple,591.95,901.58,906,3.25,31x43x11cm,2022-07-11
62,Samsung Smartphones Lite,Electronics,Smartphones,Samsung,872.08,1771.76,7,1.12,7x19x40cm,2021-07-11
63,Apple Gaming Standard,Electronics,Gaming,Apple,153.61,304.21,229,6.9,34x17x43cm,2024-11-06
64,Dell Headphones Pro,Electronics,Headphones,Dell,672.19,1152.14,727,6.67,18x21x7cm,2021-02-12
65,Nintendo Gaming Lite,Electronics,Gaming,Nintendo,119.24,180.6,583,0.7,20x32x20cm,2022-08-11
66,Microsoft Smartphones Pro,Electronics,Smartphones,Microsoft,774.48,1731.5,677,6.01,45x38x33cm,2023-03-28
67,Samsung Tablets Pro,Electronics,Tablets,Samsung,33.1,71.88,695,2.46,21x37x10cm,2023-11-24
68,Apple Laptops Standard,Electronics,Laptops,Apple,196.65,419.81,515,7.06,44x5x44cm,2023-11-06
69,Nintendo Headphones Max,Electronics,Headphones,Nintendo,993.63,1589.35,729,8.99,5x21x20cm,2023-05-10
70,Dell Smartwatches Pro,Electronics,Smartwatches,Dell,485.7,1148.59,555,0.79,38x10x32cm,2021-10-10
71,Sony Headphones Pro,Electronics,Headphones,Sony,744.07,1361.18,999,2.19,6x12x46cm,2020-08-24
72,Dell Smartphones Pro,Electronics,Smartphones,Dell,100.94,200.68,754,5.45,17x13x35cm,2022-03-14
73,Dell Smartphones Max,Electronics,Smartphones,Dell,436.62,844.5,263,2.02,49x49x35cm,2025-08-02
74,Nintendo Smartphones Max,Electronics,Smartphones,Nintendo,709.16,1392.4,45,8.87,33x44x22cm,2024-01-07
75,Apple Headphones Pro,Electronics,Headphones,Apple,724.46,1139.02,117,2.99,29x29x13cm,2021-06-02
76,Sony Headphones Max,Electronics,Headphones,Sony,779.93,1396.7,713,3.81,40x47x13cm,2024-08-22
77,Dell Smartphones Max,Electronics,Smartphones,Dell,598.55,1430.56,621,5.4,40x32x19cm,2022-02-01
78,Dell Tablets Max,Electronics,Tablets,Dell,449.0,1053.38,875,7.91,24x41x15cm,2024-08-17
79,Microsoft Laptops Lite,Electronics,Laptops,Microsoft,195.02,345.78,262,5.39,26x14x44cm,2022-04-22
80,Microsoft Smartwatches Pro,Electronics,Smartwatches,Microsoft,90.15,144.64,802,3.78,13x13x26cm,2024-08-10
81,Samsung Laptops Max,Electronics,Laptops,Samsung,495.85,1007.72,402,9.39,14x5x16cm,2021-06-26
82,HP Tablets Lite,Electronics,Tablets,HP,389.05,625.7,390,9.09,9x10x38cm,2021-12-09
83,Nintendo Smartwatches Standard,Electronics,Smartwatches,Nintendo,224.11,466.74,557,1.3,7x29x27cm,2022-08-22
84,Microsoft Tablets Standard,Electronics,Tablets,Microsoft,618.26,933.69,110,8.96,7x39x17cm,2021-08-24
85,Apple Laptops Max,Electronics,Laptops,Apple,133.46,245.02,923,7.97,31x22x46cm,2022-05-06
86,Microsoft Smartphones Pro,Electronics,Smartphones,Microsoft,488.1,827.06,332,1.2,40x37x25cm,2020-11-27
87,Dell Laptops Max,Electronics,Laptops,Dell,109.3,266.87,762,0.75,18x49x45cm,2023-01-15
88,Sony Laptops Standard,Electronics,Laptops,Sony,271.04,617.6,512,5.74,31x6x34cm,2022-09-14
89,Samsung Tablets Pro,Electronics,Tablets,Samsung,114.53,269.26,943,2.72,12x35x49cm,2021-04-08
90,Sony Smartphones Pro,Electronics,Smartphones,Sony,641.71,1127.64,56,2.77,45x33x10cm,2021-04-05
91,Apple Laptops Standard,Electronics,Laptops,Apple,589.85,1099.32,454,10.0,32x40x14cm,2021-09-17
92,Sony Laptops Lite,Electronics,Laptops,Sony,795.3,1475.6,147,7.21,49x23x32cm,2021-12-21
93,HP Gaming Lite,Electronics,Gaming,HP,477.53,885.28,36,4.92,18x35x32cm,2025-08-08
94,Dell Headphones Max,Electronics,Headphones,Dell,577.91,1285.19,0,7.55,32x8x45cm,2021-09-06
95,Samsung Headphones Pro,Electronics,Headphones,Samsung,483.88,860.71,626,8.11,22x10x23cm,2024-11-22
96,Dell Smartwatches Max,Electronics,Smartwatches,Dell,342.39,832.67,448,7.76,47x22x13cm,2023-04-17
97,Nintendo Smartwatches Pro,Electronics,Smartwatches,Nintendo,931.34,1967.17,861,4.87,5x7x26cm,2023-03-11
98,Apple Laptops Standard,Electronics,Laptops,Apple,906.64,1405.03,797,1.53,21x14x11cm,2024-04-04
99,Samsung Tablets Pro,Electronics,Tablets,Samsung,758.03,1251.89,565,6.54,13x13x41cm,2025-03-20
100,Apple Tablets Pro,Electronics,Tablets,Apple,389.78,591.18,151,8.22,23x35x15cm,2022-09-29
101,Microsoft Gaming Standard,Electronics,Gaming,Microsoft,977.21,1534.82,314,1.69,45x39x42cm,2024-05-20
102,Apple Smartphones Lite,Electronics,Smartphones,Apple,771.81,1380.35,581,2.98,31x28x22cm,2023-09-06
103,Microsoft Tablets Standard,Electronics,Tablets,Microsoft,692.97,1262.67,442,7.01,37x22x7cm,2021-08-29
104,Microsoft Smartphones Pro,Electronics,Smartphones,Microsoft,78.65,136.38,890,9.39,13x25x32cm,2023-05-28
105,Dell Gaming Standard,Electronics,Gaming,Dell,33.63,50.6,572,6.57,24x20x14cm,2022-08-04
106,Sony Laptops Pro,Electronics,Laptops,Sony,351.09,833.4,408,8.82,47x45x11cm,2024-08-20
107,Apple Headphones Lite,Electronics,Headphones,Apple,485.17,1170.41,931,7.62,38x18x12cm,2024-05-20
108,Samsung Tablets Lite,Electronics,Tablets,Samsung,527.87,1037.19,341,0.49,35x6x49cm,2024-07-22
109,Microsoft Gaming Pro,Electronics,Gaming,Microsoft,972.28,1439.69,615,6.82,35x33x31cm,2021-03-09
110,Nike Classic Accessories,Clothing,Accessories,Nike,15.85,36.97,215,0.95,20x40x15cm,2025-02-25
111,Zara Sports Mens Wear,Clothing,Mens Wear,Zara,129.13,289.57,419,6.68,40x15x20cm,2022-04-24
112,GAP Premium Mens Wear,Clothing,Mens Wear,GAP,160.52,267.54,339,1.45,11x18x15cm,2021-04-29
113,GAP Sports Shoes,Clothing,Shoes,GAP,122.52,228.51,565,3.77,19x30x37cm,2023-12-17
114,Uniqlo Premium Mens Wear,Clothing,Mens Wear,Uniqlo,138.65,275.05,130,9.18,11x26x18cm,2022-12-14
115,Adidas Classic Accessories,Clothing,Accessories,Adidas,30.34,51.57,454,3.98,19x36x32cm,2020-12-11
116,Uniqlo Sports Mens Wear,Clothing,Mens Wear,Uniqlo,121.03,240.95,994,9.6,12x6x35cm,2024-10-12
117,H&M Sports Mens Wear,Clothing,Mens Wear,H&M,171.14,281.82,604,2.18,6x35x41cm,2023-01-06
118,Levis Sports Shoes,Clothing,Shoes,Levis,124.96,193.36,261,4.57,38x35x16cm,2023-03-11
119,Uniqlo Classic Shoes,Clothing,Shoes,Uniqlo,33.96,68.83,599,1.22,22x49x20cm,2025-03-10
120,H&M Classic Shoes,Clothing,Shoes,H&M,75.12,124.39,17,3.88,37x31x46cm,2024-02-10
121,GAP Premium Kids Wear,Clothing,Kids Wear,GAP,72.58,121.98,443,5.79,9x48x40cm,2021-11-23
122,Levis Shoes Collection,Clothing,Shoes,Levis,38.92,92.25,236,8.64,5x25x44cm,2024-09-23
123,Zara Classic Accessories,Clothing,Accessories,Zara,119.58,178.35,380,4.88,31x24x17cm,2020-09-04
124,Levis Sports Shoes,Clothing,Shoes,Levis,18.88,32.73,637,0.42,5x17x18cm,2021-04-29
125,Adidas Premium Mens Wear,Clothing,Mens Wear,Adidas,64.11,134.77,286,2.38,23x41x13cm,2021-11-08
126,H&M Sports Accessories,Clothing,Accessories,H&M,75.87,111.42,690,9.85,18x44x24cm,2024-04-13
127,GAP Sports Shoes,Clothing,Shoes,GAP,161.49,292.68,260,8.76,10x18x10cm,2025-05-02
128,GAP Classic Shoes,Clothing,Shoes,GAP,91.3,169.77,135,4.25,30x12x45cm,2020-12-17
129,Levis Accessories Collection,Clothing,Accessories,Levis,171.23,267.88,870,3.21,33x18x21cm,2024-01-09
130,Levis Sports Accessories,Clothing,Accessories,Levis,60.11,136.65,544,9.35,43x23x28cm,2021-07-14
131,Levis Classic Accessories,Clothing,Accessories,Levis,50.64,97.52,881,1.33,13x31x32cm,2022-08-29
132,Adidas Premium Womens Wear,Clothing,Womens Wear,Adidas,72.6,123.53,467,2.04,36x33x22cm,2022-07-23
133,H&M Sports Mens Wear,Clothing,Mens Wear,H&M,60.48,88.95,851,0.39,40x35x42cm,2023-12-25
134,Zara Premium Shoes,Clothing,Shoes,Zara,14.68,27.52,375,8.24,5x10x28cm,2023-09-29
135,Levis Classic Accessories,Clothing,Accessories,Levis,53.14,101.39,940,0.24,41x49x36cm,2023-08-28
136,Adidas Classic Mens Wear,Clothing,Mens Wear,Adidas,22.1,31.72,172,0.49,16x8x46cm,2020-12-21
137,Zara Classic Womens Wear,Clothing,Womens Wear,Zara,27.55,57.76,81,3.77,24x45x38cm,2024-09-25
138,H&M Classic Kids Wear,Clothing,Kids Wear,H&M,68.51,142.09,332,1.21,36x42x10cm,2023-08-26
139,GAP Classic Womens Wear,Clothing,Womens Wear,GAP,115.05,210.16,877,0.6,17x16x37cm,2021-03-05
140,Nike Shoes Collection,Clothing,Shoes,Nike,121.13,284.84,807,4.9,32x32x29cm,2024-02-27
141,Levis Premium Womens Wear,Clothing,Womens Wear,Levis,138.22,241.58,605,2.29,48x41x48cm,2021-01-29
142,H&M Mens Wear Collection,Clothing,Mens Wear,H&M,62.07,107.02,213,8.85,24x30x20cm,2023-02-18
143,H&M Premium Accessories,Clothing,Accessories,H&M,141.98,216.2,901,3.3,26x10x36cm,2022-07-25
144,GAP Sports Mens Wear,Clothing,Mens Wear,GAP,56.09,118.82,956,6.47,17x36x26cm,2023-11-30
145,GAP Sports Accessories,Clothing,Accessories,GAP,92.38,166.1,392,4.0,34x34x46cm,2021-11-17
146,Uniqlo Premium Womens Wear,Clothing,Womens Wear,Uniqlo,110.94,180.35,740,7.54,40x7x8cm,2023-04-27
147,GAP Sports Womens Wear,Clothing,Womens Wear,GAP,78.27,168.55,190,4.78,47x26x14cm,2022-06-26
148,GAP Sports Shoes,Clothing,Shoes,GAP,16.27,32.5,697,2.99,5x36x29cm,2022-02-23
149,Nike Sports Accessories,Clothing,Accessories,Nike,168.76,241.77,510,8.22,6x36x36cm,2024-12-08
150,GAP Womens Wear Collection,Clothing,Womens Wear,GAP,135.99,246.53,373,6.56,47x7x9cm,2022-05-21
151,Uniqlo Womens Wear Collection,Clothing,Womens Wear,Uniqlo,20.57,38.91,739,7.53,38x20x40cm,2021-11-15
152,GAP Classic Womens Wear,Clothing,Womens Wear,GAP,43.66,106.7,818,8.96,8x18x9cm,2023-10-18
153,Uniqlo Premium Mens Wear,Clothing,Mens Wear,Uniqlo,134.66,199.01,698,2.63,40x22x18cm,2024-07-03
154,GAP Sports Womens Wear,Clothing,Womens Wear,GAP,77.55,115.71,359,8.43,25x29x31cm,2021-02-10
155,Adidas Premium Womens Wear,Clothing,Womens Wear,Adidas,13.66,26.85,544,8.42,30x46x45cm,2021-11-09
156,Adidas Classic Mens Wear,Clothing,Mens Wear,Adidas,18.77,40.72,662,6.15,32x19x23cm,2022-04-25
157,Adidas Classic Shoes,Clothing,Shoes,Adidas,128.8,193.8,612,1.84,42x29x47cm,2024-04-02
158,Adidas Sports Accessories,Clothing,Accessories,Adidas,53.19,121.57,186,2.51,37x9x20cm,2022-01-25
159,Levis Classic Accessories,Clothing,Accessories,Levis,119.14,180.16,564,6.16,46x35x15cm,2022-04-09
160,H&M Sports Womens Wear,Clothing,Womens Wear,H&M,115.11,216.49,794,3.97,24x7x20cm,2025-04-16
161,Levis Classic Shoes,Clothing,Shoes,Levis,18.31,32.54,960,7.81,34x44x36cm,2023-05-19
162,Zara Classic Womens Wear,Clothing,Womens Wear,Zara,135.98,222.83,233,2.38,40x40x29cm,2021-04-22
163,Levis Sports Shoes,Clothing,Shoes,Levis,85.61,126.13,464,3.04,35x10x39cm,2024-02-15
164,Uniqlo Classic Shoes,Clothing,Shoes,Uniqlo,111.91,167.88,53,7.21,30x38x14cm,2024-08-09
165,Nike Classic Kids Wear,Clothing,Kids Wear,Nike,114.33,274.12,365,1.2,47x14x35cm,2021-11-29
166,Nike Classic Womens Wear,Clothing,Womens Wear,Nike,27.57,51.47,400,3.54,7x19x12cm,2025-06-23
167,GAP Premium Womens Wear,Clothing,Womens Wear,GAP,108.98,215.2,725,9.67,22x23x22cm,2024-12-27
168,Adidas Accessories Collection,Clothing,Accessories,Adidas,96.96,217.59,922,3.09,10x17x27cm,2025-08-07
169,Nike Premium Womens Wear,Clothing,Womens Wear,Nike,99.71,171.77,863,1.7,30x46x15cm,2025-01-15
170,Zara Classic Mens Wear,Clothing,Mens Wear,Zara,106.78,153.35,313,8.03,25x25x12cm,2023-07-03
171,GAP Mens Wear Collection,Clothing,Mens Wear,GAP,198.49,283.89,5,7.12,40x21x13cm,2024-07-15
172,GAP Premium Shoes,Clothing,Shoes,GAP,61.32,149.36,501,2.88,13x41x7cm,2023-09-07
173,Adidas Premium Womens Wear,Clothing,Womens Wear,Adidas,123.42,207.88,554,0.44,18x41x31cm,2023-10-29
174,H&M Premium Mens Wear,Clothing,Mens Wear,H&M,172.18,272.24,0,0.66,5x15x11cm,2021-09-12
175,Uniqlo Sports Womens Wear,Clothing,Womens Wear,Uniqlo,30.62,53.94,814,0.85,46x39x45cm,2021-11-16
176,Levis Classic Mens Wear,Clothing,Mens Wear,Levis,81.75,172.69,234,4.34,48x14x27cm,2024-09-24
177,H&M Classic Shoes,Clothing,Shoes,H&M,110.62,161.37,4,8.61,10x21x29cm,2021-10-28
178,Nike Accessories Collection,Clothing,Accessories,Nike,135.6,286.86,25,0.93,6x32x6cm,2021-09-03
179,Nike Premium Shoes,Clothing,Shoes,Nike,73.52,113.46,200,5.6,35x30x40cm,2021-03-25
180,H&M Classic Womens Wear,Clothing,Womens Wear,H&M,124.18,225.65,782,0.69,37x9x41cm,2021-03-20
181,Uniqlo Premium Shoes,Clothing,Shoes,Uniqlo,126.48,208.32,702,6.02,26x25x46cm,2022-08-06
182,Levis Classic Mens Wear,Clothing,Mens Wear,Levis,73.69,121.21,902,7.39,44x44x47cm,2021-03-03
183,Zara Premium Mens Wear,Clothing,Mens Wear,Zara,63.77,108.08,671,9.24,21x43x26cm,2022-11-05
184,GAP Classic Kids Wear,Clothing,Kids Wear,GAP,74.64,178.08,676,3.44,10x38x36cm,2023-03-21
185,Zara Mens Wear Collection,Clothing,Mens Wear,Zara,124.92,196.12,449,0.92,9x15x15cm,2025-02-08
186,GAP Premium Accessories,Clothing,Accessories,GAP,64.8,101.66,468,6.99,42x6x44cm,2021-01-05
187,GAP Classic Accessories,Clothing,Accessories,GAP,174.85,297.98,931,7.1,10x38x41cm,2022-12-03
188,H&M Shoes Collection,Clothing,Shoes,H&M,45.99,92.41,617,2.61,47x13x38cm,2022-01-21
189,GAP Kids Wear Collection,Clothing,Kids Wear,GAP,101.44,196.68,662,1.71,39x27x43cm,2024-01-20
190,Levis Classic Womens Wear,Clothing,Womens Wear,Levis,160.03,243.05,575,0.46,34x25x28cm,2022-08-06
191,Adidas Premium Accessories,Clothing,Accessories,Adidas,105.95,224.13,882,9.51,30x37x40cm,2022-12-20
192,Nike Sports Shoes,Clothing,Shoes,Nike,151.16,295.19,837,2.06,40x25x26cm,2025-05-17
193,Adidas Mens Wear Collection,Clothing,Mens Wear,Adidas,58.12,102.43,483,9.28,45x26x8cm,2021-04-14
194,Levis Womens Wear Collection,Clothing,Womens Wear,Levis,55.6,123.52,320,6.25,28x8x22cm,2023-03-15
195,Uniqlo Classic Mens Wear,Clothing,Mens Wear,Uniqlo,48.9,120.79,892,0.23,5x6x26cm,2021-10-04
196,Zara Sports Accessories,Clothing,Accessories,Zara,160.01,288.52,747,9.17,46x11x46cm,2021-06-22
197,Uniqlo Sports Womens Wear,Clothing,Womens Wear,Uniqlo,130.23,256.18,112,0.43,35x22x47cm,2021-07-17
198,Levis Sports Womens Wear,Clothing,Womens Wear,Levis,96.82,203.27,309,1.88,37x25x24cm,2022-10-03
199,Adidas Classic Kids Wear,Clothing,Kids Wear,Adidas,131.45,284.63,804,2.1,37x15x45cm,2022-12-12
200,Adidas Premium Accessories,Clothing,Accessories,Adidas,120.56,285.7,664,4.62,9x46x6cm,2024-11-25
201,H&M Shoes Collection,Clothing,Shoes,H&M,44.87,88.66,201,0.27,19x46x35cm,2022-07-19
202,GAP Classic Accessories,Clothing,Accessories,GAP,35.79,68.32,693,9.66,34x25x40cm,2022-08-18
203,GAP Sports Womens Wear,Clothing,Womens Wear,GAP,87.15,216.26,243,4.59,15x35x44cm,2022-12-27
204,Adidas Accessories Collection,Clothing,Accessories,Adidas,54.54,94.5,280,3.29,17x30x15cm,2023-11-22
205,Nike Accessories Collection,Clothing,Accessories,Nike,96.19,161.62,806,6.15,36x45x19cm,2021-06-17
206,Nike Sports Mens Wear,Clothing,Mens Wear,Nike,57.13,134.94,611,6.86,7x37x31cm,2021-03-30
207,Zara Sports Accessories,Clothing,Accessories,Zara,134.07,256.85,4,7.18,13x49x32cm,2021-09-28
208,Levis Accessories Collection,Clothing,Accessories,Levis,124.85,205.12,102,9.26,41x43x24cm,2025-02-28
209,Adidas Womens Wear Collection,Clothing,Womens Wear,Adidas,131.83,264.7,155,9.38,10x16x23cm,2025-04-29
210,GAP Premium Kids Wear,Clothing,Kids Wear,GAP,74.35,127.53,959,7.87,19x47x14cm,2021-04-03
211,Adidas Premium Mens Wear,Clothing,Mens Wear,Adidas,96.36,200.22,541,6.77,41x7x44cm,2025-06-16
212,H&M Classic Accessories,Clothing,Accessories,H&M,100.6,215.26,394,8.76,12x16x19cm,2023-12-21
213,Uniqlo Kids Wear Collection,Clothing,Kids Wear,Uniqlo,119.52,229.81,198,2.92,28x10x8cm,2023-04-13
214,Nike Premium Kids Wear,Clothing,Kids Wear,Nike,59.03,111.94,389,3.79,42x15x33cm,2025-01-18
215,Adidas Shoes Collection,Clothing,Shoes,Adidas,78.49,126.33,13,5.15,16x27x25cm,2021-04-10
216,Nike Sports Womens Wear,Clothing,Womens Wear,Nike,61.44,107.0,425,4.38,7x25x12cm,2022-03-21
217,Uniqlo Premium Womens Wear,Clothing,Womens Wear,Uniqlo,66.46,122.78,101,6.16,49x8x24cm,2020-08-25
218,Zara Sports Shoes,Clothing,Shoes,Zara,54.9,118.21,166,5.57,40x22x35cm,2021-02-15
219,Uniqlo Sports Kids Wear,Clothing,Kids Wear,Uniqlo,94.23,173.14,647,2.49,5x17x28cm,2020-08-20
220,Levis Sports Accessories,Clothing,Accessories,Levis,143.17,254.04,779,9.62,48x20x10cm,2022-04-12
221,Zara Classic Kids Wear,Clothing,Kids Wear,Zara,114.89,267.55,168,3.23,14x21x46cm,2022-06-21
222,Uniqlo Sports Shoes,Clothing,Shoes,Uniqlo,74.25,127.14,742,4.01,43x46x34cm,2025-04-10
223,GAP Classic Shoes,Clothing,Shoes,GAP,109.61,167.48,598,4.96,45x34x43cm,2025-06-21
224,Zara Mens Wear Collection,Clothing,Mens Wear,Zara,43.79,63.55,132,7.28,46x12x13cm,2022-07-22
225,GAP Kids Wear Collection,Clothing,Kids Wear,GAP,74.71,163.14,972,7.66,36x46x19cm,2021-11-12
226,GAP Premium Mens Wear,Clothing,Mens Wear,GAP,153.2,226.64,789,9.97,6x36x42cm,2020-12-19
227,GAP Premium Mens Wear,Clothing,Mens Wear,GAP,30.76,65.94,408,9.82,41x45x11cm,2024-01-28
228,GAP Classic Mens Wear,Clothing,Mens Wear,GAP,98.38,161.39,62,0.17,25x10x5cm,2021-01-07
229,Zara Womens Wear Collection,Clothing,Womens Wear,Zara,79.93,150.57,694,0.53,21x47x40cm,2025-02-18
230,Zara Premium Accessories,Clothing,Accessories,Zara,84.75,142.28,419,3.89,49x23x25cm,2024-09-04
231,Nike Premium Womens Wear,Clothing,Womens Wear,Nike,81.93,132.84,479,2.41,39x20x46cm,2023-06-20
232,Nike Premium Kids Wear,Clothing,Kids Wear,Nike,131.87,188.49,458,4.77,28x42x28cm,2022-02-11
233,Nike Mens Wear Collection,Clothing,Mens Wear,Nike,35.21,85.0,581,3.6,20x49x32cm,2022-07-01
234,Adidas Premium Mens Wear,Clothing,Mens Wear,Adidas,99.41,208.64,596,8.17,7x16x44cm,2022-07-24
235,Nike Mens Wear Collection,Clothing,Mens Wear,Nike,132.75,201.46,419,2.79,6x21x34cm,2021-08-16
